Name,Class,Type,is2Handed,Level,DurabilityIncrease,PowerIncrease,EfficiencyIncrease,TenacityIncrease,SensitivityIncrease,AtkStat,AtkFunc,AtkCoeff,OnHit,OnMiss,OnPlay,OnActivate,ChoiceLabels,OnNextTurn,OnNextPlayerTurn,OnRemove,WhileinPlay,ChainsWith,OnChainActivate,Requires,Text,CD,Flavor
The Bloody Claw,Heavy,Dual,1.0,5,,4.0,,3.0,,Power,LINEAR,2.0,,,,Deflect(1),,,,,,,,,"Power +4
Tenacity +3
This weapon is considered Two Handed.

1. Attack: Deal damage equal to Power+2 to an enemy.
2. Skill - Deflect I: Until your next turn, Tenacity +1 during the first damage Action you are the target of.
 - if it misses -> gain a Momentum counter. You lose it at the end of your next turn.

Momentum counter: During your Duel phase, you can remove it from game to make a learnt Skill ready.",1.0,"A crazy cannibal lives in the forest near Queensdale and attacks people on sight. His weapon is a twisted and rusted billhook, always drenched in blood."
Devious Eyepatch,Heavy,Head,,1,,2.0,,,,,,,,,,,,,,,,,,,Power +2,,
Trusty Helmet,Heavy,Head,,3,,,,1.0,,,,,,,,,,,,,,,,,Tenacity +1,,
Shirt of Bravado,Heavy,Chest,,2,,4.0,,,,,,,,,,,,,,,,,,,Power +4,,
Trusty Brigandine,Heavy,Chest,,3,,2.0,,3.0,,,,,,,,,,,,,,,,,"Power +2
Tenacity +3",,
Brave Bracers,Heavy,Bracers,,2,,,,1.0,,,,,,,,,,,,,"gainXY_if_notZ_onField(""Tenacity"", 1, ""Off-Hand"")",,,,"
Tenacity +1

- Gain Tenacity +1 while you have no Off-Hand Equip on field.",,
Caligae,Heavy,Boots,,2,,1.0,,,,,,,,,,,,,,,"gainXY_if_notZ_onField(""Tenacity"", 1, ""Dual"")",,,,"
Power +1

- Gain Power +1 while you have no Dual Weapon on field.",,
Valor Sallet,Heavy,Head,,5,,1.0,,1.0,,,,,,,,,,,,,"checkEquipSet(""Valor"")",,,,"Power +1
Tenacity +1

Set: ""Valor"" - If there are two or more ""Valor"" equipments on field: gain Power +2 and Tenacity +2",,
Valor Half-Plate,Heavy,Chest,,5,,3.0,,3.0,,,,,,,,,,,,,"checkEquipSet(""Valor"")",,,,"Power +3
Tenacity +3

Set: ""Valor"" - If there are two or more ""Valor"" equipments on field: gain Power +2 and Tenacity +2",,
Valor Gauntlets,Heavy,Bracers,,5,,1.0,,1.0,,,,,,,,,,,,,"checkEquipSet(""Valor"")",,,,"Power +1
Tenacity +1

Set: ""Valor"" - If there are two or more ""Valor"" equipments on field: gain Power +2 and Tenacity +2",,
Valor Leg Guards,Heavy,Boots,,5,,1.0,,1.0,,,,,,,,,,,,,"checkEquipSet(""Valor"")",,,,"Power +1
Tenacity +1

Set: ""Valor"" - If there are two or more ""Valor"" equipments on field: gain Power +2 and Tenacity +2",,
Steel Slash,Heavy,Skill,,2,,,,,,,,,,,,"Damage(Efficiency,LINEAR,1)",,,,,,Brave Blade,,,"Deal Efficiency+1 damage to a target enemy.

Chain [Brave Blade]",0.0,
Brave Blade,Heavy,Skill,,4,,,,,,,,,,,,"Damage(Efficiency,LINEAR,2)",,,,,,Lacerating Lunge,"Damage(Efficiency,LINEAR,5)",,"If it was Chained: Deal Efficiency+5 damage to a target enemy.

If it was not Chained: Deal Efficiency+2 damage to a target enemy.

Chain [Lacerating Lunge]",1.0,
Lacerating Lunge,Heavy,Skill,,5,,,,,,,,,,,,"Damage(Efficiency,LINEAR,3)",,,,,,,"Damage(Power,LINEAR,0)",,"If it was Chained: Deal Power damage to a target enemy.

If it was not Chained: Deal Efficiency+3 damage to a target enemy.",1.0,
Moon Cleave,Heavy,Skill,,2,,,,,,,,,,,,"Damage(Efficiency,LINEAR,0)",,,,,,,,,Deal Efficiency damage to all enemies.,0.0,"The legend says that when the Saint fenced with their enemies, their sword shone bright like a silver moon in a dark night."
Shield Bash,Heavy,Skill,,3,,,,,,,,,,,,,,,NullifyFirstAction(),,,,,Equip:OFF_HAND,"During your target enemy's next turn they are Nullified.
Nullified: The first time they use an Action, it has no effect.
(A off-hand card has to be in play for this card to be in effect)",2.0,
Furious Fencing,Heavy,Instant,,5,,,,,,,,,,,,"Damage(Efficiency,LINEAR,5)",,,,,,,,,Deal Efficiency+5 damage to a target enemy,3.0,
Second Wind,Heavy,Cantrip,,1,,,,,,,,,,,"HealSelf(Sensitivity,LINEAR,0)",,,,,,,,,,Restore HP to your Accessor of a number of points equal to their Sensitivity,,
Reckless Push,Heavy,Cantrip,,1,,,,,,,,,,,ifUsedBonusRegain(),,,,,,,,,UsedAction:Tactical,"If you already used your Tactical Action, gain one more.",,
Battlemaster,Heavy,Instant,,2,,,,,,,,,,,,"TempStat(Power,2)||TempStat(Tenacity,5)",+2 Power||+5 Tenacity,,,,,,,,"Choose one effect. It is active until the end of the turn you activated this skill:
1. Power +2
2. Tenacity +5",3.0,
Reload,Heavy,Cantrip,,1,,,,,,,,,,,DrawThenDiscard(1),,,,,,,,,,"Draw a card, then discard a card in your hand.",,
Skullsplitter,Heavy,Skill,,5,,,,,,,,,,,,SkullSplitter(),,,,,,,,2H,"If you have a Two Handed weapon equipped, deal Power damage and make your enemy incapable of using Tactical Actions during their first turn.",2.0,
Rage,,Counter,,,,,,,,,,,,,,,,,,,,,,,"While in play, Power +1. If you miss: Lose all Rage Counters.",,
Momentum,,Counter,,,,,,,,,,,,,,,,,,,,,,,"During your Duel phase, you can remove this from game to make a learnt Skill ready.",,
Kai,,Counter,,,,,,,,,,,,,,,,,,,,,,,The next damage Skill deals damage equal to Power instead of their regular value. You cannot have an Off-Hand Equip on field to use this.,,
Nullified,,Counter,,,,,,,,,,,,,,,,,,,,,,,"The first time you use an Action, it has no effect. (This counter is removed after the first action attempt).",,
Set: Valor,,,,,,,,,,,,,,,,,,,,,,,,,"While this set is active, you gain Power +2 and Tenacity +2.",,
